event_date,year,cartel_a,cartel_b,fatalities,admin1,location,latitude,longitude,notes
2019-10-21,2019,CJNG,Los Viagras,0,Michoacan de Ocampo,Tocumbo,19.7035,-102.5219,"On 21 October 2019, on the Tocumbo-Cotija highway, Michoacan, there was an armed clash between members of the CJNG and Los Viagras. 0 fatalities, 0 injuries"
2019-10-28,2019,CJNG,La Familia Michoacana,1,Michoacan de Ocampo,Morelia,19.7034,-101.192,"As reported on 28 October 2019, in Michoacan, members of La Familia Michoacana Cartel published a video in which they showed how they tortured and killed a member of the CJNG."
2019-10-29,2019,CJNG,Los Rojos,1,Morelos,Xochitepec,18.7808,-99.2305,"On 29 October 2019, in Xochitepec, Morelos, groups of prisoners clashed inside the Atlacholoaya prison. The clash was related to disputes for the control of the prison. One prisoner died and another one was injured."
2019-10-30,2019,CJNG,Los Rojos,4,Morelos,Xochitepec,18.7808,-99.2305,"On 30 October 2019, in Xochitepec, Morelos, prisoners members of the CJNG and Los Rojos clashed inside the Atlacholoaya prison. The clash was related to disputes for the control of the prison. According to reports, four prisoners died, among them a leader of the CJNG and a leader of Los Rojos, and 15 other were injured."
2019-12-15,2019,Cartel del Noreste,Los Metros,0,Tamaulipas,Ciudad Miguel Aleman,26.401,-99.0261,"As reported on 15 December 2019, a video appeared on social networks showing an armed clash between members of the criminal group Los Metros and members of the North-East Cartel in the Municipality of Miguel Aleman, Taumalipas. It is not known when the confrontation took place or if there were any injuries or deaths."
2020-01-13,2020,CJNG,Los Viagras,3,Michoacan de Ocampo,Churumuco de Morelos,18.6654,-101.6483,"As reported on 13 January 2020, in Churumuco de Morelos, Michoacan, there was an armed clash between members of CJNG and the Viagras cartel. The Municipal Police tried to intervene in the confrontation. Also, six vehicles were burned on the road to Zicuiran. 3 people died, 7 were injured and 4 police officers disappeared."
2020-01-14,2020,CJNG,La Familia Michoacana,1,Guerrero,Zirandaro de los Chavez,18.4791,-100.9759,"On 14 January 2020, in Zirandaro, Guerrero, members of the CJNG clashed with members of La Familia Michoacana Cartel. After the clash, police officers found one dead man."
2020-02-04,2020,CJNG,Los Viagras,9,Michoacan de Ocampo,Uruapan,19.4209,-102.0628,"On 04 February 2020, in Uruapan, Michoacan, after asking about two alleged members of the Viagras Cartel, four armed individuals shot at the people who were in a slot machine shop in Colonia La Magdalena. The shop was allegedly used as a drug outlet for the Viagra cartel. The perpetrators would be alleged members of a branch of the CJNG. Nine people died and two were injured."
2020-02-05,2020,CJNG,La Familia Michoacana,4,Michoacan de Ocampo,Santiago Tangamandapio,19.954,-102.4328,"On 5 February 2020, in Tangamandapio, Michoacan, armed groups clashed. Four men were found dead inside a car. Police officers found firearms inside the car and three of the victims were wearing military clothes. According to reports, the clash was between members of CJNG and Familia Michoacana Cartel."
2020-02-08,2020,CJNG,La Familia Michoacana,0,Guerrero,Zirandaro de los Chavez,18.4791,-100.9759,"On 8 February 2020, in Zirandaro, Guerrero, members of La Familia Michoana and CJNG clashed in EL Chivo village. According to reports, around 200 people displaced from El Chivo, La Calera and La Estancia communities fearing more clashes. Neither fatalities nor injuries reported."
